DATE,ACTIVITY,QTY,SYMBOL,DESCRIPTION,PRICE,COMMISSION,FEES,AMOUNT,OPT_SYMBOL,EXPIRATION_DATE,STRIKE,OPTION_TYPE,ACTIVITY_PRIORITY
2025-01-02,Sold To Close,-1,TSLA,TSLA May 16 2025 310.00 Put,21.3,0.5,0.09,2129.41,TSLA,2025-05-16,310.0,Put,1
2025-01-22,Sold To Close,-1,AAPL,AAPL Dec 19 2025 160.00 Put,2.88,0.5,0.05,287.45,AAPL,2025-12-19,160.0,Put,1
2025-01-23,Sold To Close,-1,VCSH,VCSH Feb 21 2025 79.00 Put,0.9,0.5,0.05,89.45,VCSH,2025-02-21,79.0,Put,1
2025-02-04,Sold To Close,-3,JD,JD Feb 21 2025 50.00 Call,0.36,1.5,0.1,106.4,JD,2025-02-21,50.0,Call,1
2025-02-06,Sold To Close,-1,BND,BND Jun 20 2025 72.00 Call,1.34,0.5,0.05,133.45,BND,2025-06-20,72.0,Call,1
2025-02-06,Sold To Close,-1,BND,BND Jun 20 2025 73.00 Put,0.95,0.5,0.05,94.45,BND,2025-06-20,73.0,Put,1
2025-02-06,Sold To Close,-1,LQD,LQD May 16 2025 110.00 Put,2.84,0.5,0.05,283.45,LQD,2025-05-16,110.0,Put,1
2025-02-06,Sold To Close,-1,LQD,LQD May 16 2025 109.00 Call,1.08,0.5,0.05,107.45,LQD,2025-05-16,109.0,Call,1
2025-02-06,Sold To Close,-1,JD,JD Dec 19 2025 40.00 Call,7.3,0.5,0.07,729.43,JD,2025-12-19,40.0,Call,1
2025-02-06,Sold To Close,-1,JD,JD Dec 19 2025 60.00 Call,2.55,0.5,0.05,254.45,JD,2025-12-19,60.0,Call,1
